23
2019
Stand By Crouch 	9-6 (60) 	155 	130 	58 	42 	32 	.723 	105 	25 	39 	19 	32
Ardern's Army 	8-4 (52) 	130 	102 	61 	24 	39 	.694 	93 	19 	43 	7 	9
Two time 	7-9 (51) 	134 	124 	46 	22 	46 	.694 	113 	12 	45 	4 	21
Trunk 	6-6 (42) 	140 	98 	47 	58 	22 	.718 	88 	26 	28 	14 	20
Bayside City Council 	7-4 (46) 	115 	90 	35 	43 	47 	.610 	89 	16 	27 	9 	11
The Spreadsheet 	5-6 (36) 	163 	112 	44 	34 	50 	.676 	121 	16 	56 	11 	29
Green Heinekens 	9-5 (59) 	143 	101 	59 	9 	31 	.709 	71 	29 	26 	19 	33
Disown Team 	10-3 (63) 	120 	63 	45 	3 	14 	.678 	55 	27 	10 	9 	8
